Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/12/2022,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),Latest Reported Industry Type (sectors),2021 Total reported direct emissions,2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
1001033,110070116733,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,Posey,37.91,-87.72,221112,D,Power Plants,3077205.934,2386473.354,2789540.744,2741626.714,2172917.248,2315093.224,2663665.556,3143355.92,2556867.744,2538211.824,2270617.68
1012058,110071161547,"A.C.M.S., Inc.",Lake Panasoffkee,FL,33538,835 CR 529,SUMTER COUNTY,28.74,-82.09,562212,HH,Waste,255049.25,210709.75,139492.5,95999,47097,29670,15626.5,,,,
1013527,,A.J. Mihm Generating Station,Pelkie,MI,49958,816017 Sarya Road,,46.79,-88.62,221112,C,Power Plants,119056.152,123398.136,99392.676,,,,,,,,
1002853,110017421226,ABBOTT NUTRITION,STURGIS,MI,49091,901 NORTH CENTERVILLE ROAD,ST. JOSEPH COUNTY,41.81,-85.43,311514,C,Other,,,,,,23486.812,23398.012,24996.502,21426.508,20498.372,25492.572
1002983,110018042562,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,LAKE COUNTY,42.30,-87.89,424210,C,Other,56477.688,55009.392,54130.096,54787.244,55489.192,55832.74,56777.334,64177.574,68720.94,58630.792,75805.464
1007514,110007806188,ABBVIE LTD.,BARCELONETA,PR,00617,RD 2 KM 58.0,BARCELONETA MUNICIPIO,18.43,-66.57,325412,C,Chemicals,61957.898,64383.468,86980.038,86045.7,82095.45,85474.85,95561.37,98333.766,106357.646,110110.44,116626.036
1004511,110000366817,ABC COKE,TARRANT,AL,35217,ONE RAILROAD AVENUE,JEFFERSON COUNTY,33.58,-86.78,324199,"C,Q",Metals,175860.388,171414.198,177086.876,176844.078,166390.22,161315.038,171606.494,201540.706,199654.2,214858.5,223890.3
1005278,110033218159,ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT,COLWICH,KS,67030,523 E UNION AVE,SEDGWICK COUNTY,37.79,-97.53,325193,C,Other,,,,,,,7714.42,7460.572,0,0,11.508
1005353,110038367228,ABERDEEN ENERGY LLC,MINA,SD,57451,13435 370TH AVENUE,EDMUNDS COUNTY,45.44,-98.79,325193,C,Other,190887.632,196953.308,193369.872,194354.968,189764.636,189764.636,180568.92,174747.692,182302.264,172174.552,162005.144
1006971,110064337123,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,MD,21005,4304 Susquehanna Ave,HARFORD COUNTY,39.48,-76.14,928110,C,Other,98481.41,95765.878,108122.626,106920.024,83575.72,80483.606,69918.52,54155.474,33282.086,40467.052,51104.972
1003091,110034769043,ABRAHAM COMPRESSOR STATION,CANADIAN,TX,79014,9835 US HWY 60,HEMPHILL,35.76,-100.49,211111,C,Petroleum and Natural Gas Systems,,,,,,,21767.968,27228.548,30973.284,23083.164,24388.408
1002627,110027236621,ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,MITCHELL COUNTY,43.50,-92.92,325193,"C,II","Other,Waste",147591.632,142519.35,140703.258,170171.848,177140.222,174562.492,178561.368,179161.664,180438.26,172951.432,167013.704
1002685,110071162081,AC 857 A,Offshore,TX,00000,,,26.30,-94.90,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,222001.802,195340.752,214992.532,214868.72,209376.546,265377.77,275627.372,229358.716,180859.878,175745.18,134678.516
1006529,110013921435,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,70531,611 PETAL RD,ACADIA PARISH,30.26,-92.53,562111,HH,Waste,45791.5,45082.5,53725.25,53049.5,52774.25,52502.75,51686.5,51001,50322.75,49691,47807.5
1004830,110000481924,ACE Cogeneration Company,Trona,CA,93562,12801 Mariposa Street,SAN BERNARDINO,35.77,-117.38,221112,C,Power Plants,,,,,,,,368560.07,327422.644,581742.796,721407.1
1004761,110013812918,ACE ETHANOL LLC,STANLEY,WI,54768,815 WEST MAPLE STREET,CHIPPEWA COUNTY,44.96,-90.96,325193,"C,PP","Other,Suppliers of CO2",75318.816,69300.84,75591.916,73526.124,73406.124,74011.772,73115.024,75143.268,72119.23,71600.98,70091.236
1005601,110007180709,ACME BRICK CO ELGIN PLANT,ELGIN,TX,78621,1776 OLD MCDADE RD,BASTROP COUNTY,30.33,-97.29,327120,C,Minerals,24461.508,26692.3,26165.752,27772.696,26481.6,55858.24,58615.68,29376.34,31235.332,24725.356,22273
1005046,110007177722,ACME GYPSUM FACILITY,QUANAH,TX,79252,4164 HIGHWAY 285,HARDEMAN COUNTY,34.32,-99.82,327420,C,Minerals,37011.56,39773,39610.7,38344.156,37790.608,39418.452,35616.516,34729.62,28972.14,28780.592,29403.14
1002731,110071161104,ADA COGENERATION,ADA,MI,49355,7575 FULTON STREET EAST,KENT COUNTY,42.93,-85.43,221112,C,Power Plants,104600.056,85831.676,81392.592,100988.82,95251.54,93656.996,94984.492,109183.288,100435.022,89412.964,108163.192
1003752,110040089604,"ADA Carbon Solutions (Red River), LLC",Coushatta,LA,71019,201 Red River Mine Road,RED RIVER PARISH,32.01,-93.39,325998,C,Chemicals,273324.876,194427.156,172184.88,197306.896,183758.036,220376.876,188762.668,143455.08,97533.63,126979.98,62533.968
1003422,110008978552,ADKINS ENERGY LLC,LENA,IL,61048,4350 WEST GALENA ROAD,STEPHENSON COUNTY,42.36,-89.80,325193,C,Other,90388.16,86205.076,91352.056,84644.032,85443.128,80070.748,76422.312,74812.268,67654.596,65913.002,73368.674
1002154,110013325507,ADM - MANKATO,MANKATO,MN,56001,2019 3RD AVENUE,BLUE EARTH COUNTY,44.19,-94.00,311225,C,Other,128883.532,139900.224,90584.588,129574.91,129892.802,138907.888,143286.47,138201.4,137337.738,96361.56,129094.78
1006047,110010507503,ADM CORN PROCESSING,CEDAR RAPIDS,IA,52404,1350 WACONIA AVENUE SOUTHWEST,LINN COUNTY,41.92,-91.69,311221,"C,II","Other,Waste",2754252.748,2338390.15,3071299.446,3008750.946,3053653.682,2952187.862,3048420.424,3022790.716,2916363.878,3233301.058,3018343.17
1006208,110000415630,ADM CORN PROCESSING,CLINTON,IA,52732,1251 BEAVER CHANNEL PARKWAY,CLINTON COUNTY,41.82,-90.21,311221,"C,TT","Other,Waste",2114570.57,2110774.534,2088384.04,2089938.928,1939935.277,2024063.47,2151829.934,2272580.96,2188314.938,2010290.49,2061252.446
1001867,110000595035,ADM CORN PROCESSING,WALHALLA,ND,58282,12868 COUNTY ROAD 9,PEMBINA,48.91,-97.89,325193,C,Other,,,,,,,,,,15584.916,88428.728
1010610,110033021888,ADM Deerfield,Deerfield,MO,64741,17700 South Highway T,VERNON COUNTY,37.81,-94.59,311224,C,Other,41564.144,41564.844,40696.796,34751.42,32865.476,33675.724,34167.172,30872.584,30982.38,27301.948,
